lat,lon,altitude,heading,speed,squawk,mtime
48.5626,37.2179,33000,111,488,0143,1405602773
48.5717,37.1817,33000,111,487,0143,1405602761
48.6171,37.0014,33000,111,482,0143,1405602704
48.6646,36.8027,33000,107,481,0143,1405602642
48.764,36.3783,33000,111,483,0143,1405602509
48.764,36.3783,33000,111,483,0143,1405602509
48.8073,36.205,33000,111,480,0143,1405602454
48.855,36.0142,33000,111,477,0143,1405602393
48.8968,35.8345,33000,107,475,0143,1405602335
48.9231,35.674,33000,101,476,0143,1405602286
48.9482,35.4714,33000,101,473,0143,1405602224
48.9716,35.2825,33000,101,472,0143,1405602165
49.0088,34.9436,33000,99,477,0143,1405602062
49.0157,34.8836,33000,102,475,0143,1405602044
51.4696,23.531,32100,106,482,0143,1405598586
51.5747,22.9379,31000,106,479.7,0143,1405598414
51.6129,22.7174,31000,106,480.4,0143,1405598349
51.6405,22.5572,31000,105,482,0143,1405598303
51.6603,22.4396,31000,105,483.7,0143,1405598268
51.6943,22.2363,31000,104,482.4,0143,1405598211
51.7282,22.0312,31000,104,483.1,0143,1405598151
51.7619,21.8245,31000,104,481.7,0143,1405598091
51.7956,21.6157,31000,104,481.4,0143,1405598032
51.8291,21.4053,31000,103,480,0143,1405597971
51.8612,21.2009,31000,104,480.7,0143,1405597912
51.8933,20.9946,31000,104,480.2,0143,1405597853
51.9253,20.7856,31000,104,481.9,0143,1405597793
51.9565,20.5765,31000,104,481.2,0143,1405597734
51.975,20.3664,31000,90,480,0143,1405597674
51.9643,20.1513,31000,80,484.7,0143,1405597614
51.9388,19.9411,31000,80,485.7,0143,1405597555
51.9126,19.726,31000,79,488.3,0143,1405597495
51.8871,19.503,31000,84,487.4,0143,1405597432
51.8747,19.287,31000,86,490.4,0000,1405597374
52.0611,15.9376,31000,96,482.6,0143,1405596442
52.0726,15.7571,31000,96,481.3,0143,1405596392
52.0867,15.5293,31000,96,481.3,0143,1405596328
52.1164,15.0222,31000,94,482.3,0143,1405596188
52.1269,14.8325,31000,94,483.1,0143,1405596136
52.1349,14.6851,31000,94,483.1,0143,1405596095
52.1448,14.4979,31000,94,484.1,0143,1405596043
52.1685,14.0244,31000,95,487.5,0143,1405595912
52.1685,14.0244,31000,95,487.5,0143,1405595912
52.1769,13.8471,31000,94,487.4,0143,1405595864
52.1875,13.6188,31000,94,489.3,0143,1405595802
52.196,13.4261,31000,94,489.2,0143,1405595748
52.2058,13.1926,31000,94,490.1,0143,1405595685
52.2155,12.9472,31000,94,492,0143,1405595618
52.223,12.7514,31000,93,492.5,0143,1405595566
52.2307,12.5394,31000,92,493.4,0143,1405595508
52.2386,12.3138,31000,92,494.4,0143,1405595447
52.2464,12.0826,31000,92,494.4,0143,1405595385
52.2537,11.8607,31000,92,493.4,0143,1405595325
52.2608,11.6381,31000,92,493.3,0143,1405595264
52.2659,11.4216,31000,91,494,0143,1405595206
52.2639,11.1849,31000,86,496,0143,1405595143
52.2536,10.9755,31000,86,497.1,0143,1405595086
52.242,10.7502,31000,86,498.2,0143,1405595026
52.2302,10.5293,31000,86,499.3,0143,1405594966
52.2178,10.3038,31000,86,500.4,0143,1405594907
52.2047,10.0746,31000,85,501.2,0143,1405594847
52.1916,9.85222,31000,84,501.4,0143,1405594787
52.1774,9.62013,31000,84,500.6,0143,1405594725
52.1636,9.40241,31000,84,500.7,0143,1405594667
52.1493,9.18096,31000,84,501.8,0143,1405594607
52.1358,8.97865,31000,84,503,0143,1405594552
52.1181,8.72189,31000,84,505.1,0143,1405594489
52.1022,8.498,31000,84,506,0143,1405594425
52.0858,8.27263,30825,84,505,0143,1405594365
52.0692,8.04977,29700,83,509,0143,1405594306
52.0561,7.87351,29000,83,506.7,0143,1405594259
52.0383,7.6355,27975,83,500.9,0143,1405594195
52.0174,7.37277,26825,82,492.7,0143,1405594126
52.0014,7.19673,25800,82,486.1,0143,1405594076
51.9938,6.96823,24700,99,477.8,0143,1405594012
52.028,6.73517,23250,102,465,0143,1405593945
52.0513,6.57791,22150,104,459.6,0143,1405593898
52.0818,6.37027,20575,103,450.2,0143,1405593836
52.1113,6.16584,18700,103,441,0143,1405593773
52.1372,5.97185,16950,101,428.5,0143,1405593712
52.1712,5.77011,14975,111,411.2,0143,1405593646
52.2072,5.62265,13400,112,403.3,0143,1405593599
52.2507,5.44556,11525,112,377.5,0143,1405593533
52.2865,5.29541,10575,111,328.2,0143,1405593474
52.3185,5.15678,8950,111,297,0143,1405593405
52.3643,5.05875,6950,145,275.5,0143,1405593347
52.4143,4.99657,5175,126,271.8,0143,1405593298
52.4235,4.8587,3400,82,233.3,0143,1405593227
52.3975,4.79875,2675,48,198.2,0143,1405593180
52.3512,4.74327,1075,15,188.7,0143,1405593119
52.3025,4.7374,0,0,3,0143,1405593008
52.3019,4.73844,0,250,10,0143,1405592973
52.3026,4.73967,0,222,10.5,0143,1405592876
52.3036,4.7404,0,183,9.5,0143,1405592853
52.306,4.74062,0,0,4.5,0143,1405592787
52.3063,4.74066,0,183,7.5,0143,1405592724
52.3081,4.74082,0,183,15,0143,1405592695
52.3135,4.74129,0,180,13,0143,1405592615
52.3148,4.74495,0,267,18,0143,1405592569
52.315,4.75141,0,267,9,0143,1405592509
52.3141,4.75441,0,357,10.5,0143,1405592452
52.3129,4.75453,0,0,2.5,0143,1405592239
52.311,4.75544,0,0,2,0143,1405592142
52.311,4.75544,0,0,2,0143,1405592142
52.3114,4.75578,0,0,2.5,0143,1405592055